Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
8041,Restaurant L'EMPREINTE,"
rue en face de la mairie centrale, wologuèdè, Cotonou",Cotonou,Restaurant,,0157552008,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8042,Tandoori Nights,"
Piste Amalco, Cotonou",Cotonou,Restaurant,,0196181623,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8043,La Villa Lounge Bar,"
994R+PCH, Cotonou",Cotonou,Restaurant,,53535355,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8044,Sky lounge,"
plage fin pave Avant église morija, 4eme etage de hotel la casa cielo, Cotonou",Cotonou,Restaurant,,68373737,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8045,Restaurant Le club 38,"
COTONOU Vedoko funaï, Cotonou",Cotonou,Restaurant,,97761161,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8046,Shamiana,"
993X+MGH, Cotonou",Cotonou,Restaurant,,,,0,Restaurant,web,2,,"Pas de site, pas de téléphone — à vérifier",a_verifier,,
8047,Taco-Taco Bar Restaurant,"
Cotonou",Cotonou,Restaurant,,0197480566,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8048,Le Châblis,"
9C43+HPG, Rue 395, Cotonou",Cotonou,Restaurant,,56344862,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8049,Cali Cali,"
88XH+HW, Cotonou",Cotonou,Restaurant,,0146464609,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8050,Restaurant ALADIAH Cotonou,"
99HM+F66, Cotonou",Cotonou,Restaurant,,0147471147,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8051,Restaurant Chez Maman Bénin,"
Rue 201A, Cotonou",Cotonou,Restaurant,,21323338,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8052,Le Lieu Unique,"
08 Bp, 67 avenue de la francophonie, Cotonou",Cotonou,Restaurant,,0167549858,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8053,Ruski Dom,"
Cotonou",Cotonou,Restaurant,,95956761,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8054,Cotonou,"
Rue du Renouveau, Cotonou",Cotonou,Restaurant,,0197808892,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8055,GOOD TASTE Bénin,"
03BP4390 Jéricho Cotonou, Akpakpa",Cotonou,Restaurant,,67454991,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8056,"Bon Appétit, Cotonou","
99RX+C99, Rue 2650, Cotonou",Cotonou,Restaurant,,97404545,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8057,3.14 Atelier,"
Piste Almalco, Cotonou",Cotonou,Restaurant,,0198314314,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8058,Restaurant Agapé,"
02 BP 303, Cotonou",Cotonou,Restaurant,,97889720,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8059,Restaurant Cotonou PRIO,"
Cotonou",Cotonou,Restaurant,,0197044750,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8060,BLACK'ISH RESTAURANT,"
Rue 2944, Cotonou",Cotonou,Restaurant,,0142805603,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8061,Bar restaurant la pyramide bénin,"
99V8+54Q, Cotonou",Cotonou,Restaurant,,68030000,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8062,SOKBARO,"
Cotonou",Cotonou,Restaurant,,0196645724,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8063,Restaurant Libanais ZITAWI,"
9C5P+PP9, Cotonou",Cotonou,Restaurant,,97888188,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8064,Restaurant Chez Alexia,"
C/1318, Cotonou",Cotonou,Restaurant,,40959125,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8065,Grillade halal Cotonou,"
Cotonou",Cotonou,Restaurant,,0141506629,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
