Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
8196,Restaurant Savane,"
9CCC+8HW, Cotonou",Cotonou,Restaurant,,0161792209,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8197,3.14 Atelier,"
Piste Almalco, Cotonou",Cotonou,Restaurant,,0198314314,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8198,Restaurant SAVEURS ROYALES COTONOU,"
Salle du Royaume des Témoins de Jéhovah de Cadjehoun, rue 615, Cotonou",Cotonou,,,0167971959,,,,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8199,Le Lieu Unique,"
08 Bp, 67 avenue de la francophonie, Cotonou",Cotonou,Restaurant,,0167549858,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8200,Chez Fataï,"
Missite, Cotonou sis entre le Carrefour Marina et la place Bicentenaire, Cotonou",Cotonou,,,67591820,,,,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8201,LA BOUFFE DU ROI,"
Cotonou",Cotonou,,,97088730,,,,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8202,Bar restaurant la pyramide bénin,"
99V8+54Q, Cotonou",Cotonou,Restaurant,,68030000,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8203,BLACK'ISH RESTAURANT,"
Rue 2944, Cotonou",Cotonou,Restaurant,,0142805603,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8204,"Bon Appétit, Cotonou","
99RX+C99, Rue 2650, Cotonou",Cotonou,Restaurant,,97404545,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8205,Restaurant Libanais ZITAWI,"
9C5P+PP9, Cotonou",Cotonou,Restaurant,,97888188,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
