Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
8176,Restaurant L'EMPREINTE,"
rue en face de la mairie centrale, wologuèdè, Cotonou",Cotonou,Restaurant,,0157552008,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8177,SOKBARO,"
Cotonou",Cotonou,Restaurant,,0196645724,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8178,Restaurant ALADIAH Cotonou,"
99HM+F66, Cotonou",Cotonou,Restaurant,,0147471147,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8179,Shamiana,"
993X+MGH, Cotonou",Cotonou,Restaurant,,,,0,Restaurant,web,2,,"Pas de site, pas de téléphone — à vérifier",a_verifier,,
8180,Restaurant Cotonou PRIO,"
Cotonou",Cotonou,Restaurant,,0197044750,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8181,Restaurant Chez Alexia,"
C/1318, Cotonou",Cotonou,Restaurant,,40959125,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8182,Grillade halal Cotonou,"
Cotonou",Cotonou,Restaurant,,0141506629,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8183,Paulcuisine,"
995C+MV8, Cotonou",Cotonou,Restaurant,,0166570991,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8184,SUNDOWNER Bar & Resto,"
03 BP 1013, Cotonou",Cotonou,Restaurant,,0154241533,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8185,Restaurant Le club 38,"
COTONOU Vedoko funaï, Cotonou",Cotonou,Restaurant,,97761161,,0,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
