Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
8016,"Rénovation SRD MOISE - Peintre Paris, carreleur Paris",,Paris,Peintre,,,,0,Peintre,web,2,,"Pas de site, pas de téléphone — à vérifier",a_verifier,,
8017,MB DECO,,Paris,Peintre,,,,0,Peintre,web,2,,"Pas de site, pas de téléphone — à vérifier",a_verifier,,
8018,Expert-comptable Paris - EXPERTYM,,Paris,expertise_comptable,,,,,expertise_comptable,web,2,,"Pas de site, pas de téléphone — à vérifier",a_verifier,,
8019,PALOMA,"
93 Rue Julien Lacroix, 75020 Paris, France",Paris,,,+33665968846,,,,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8020,Paris Nord Café,"
17 Rue de Dunkerque, 75010 Paris, France",Paris,,,+33142852361,,,,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8021,CABINET D'AVOCATS MAHBOULI PARIS,,Paris,avocat,,,,,avocat,web,2,,"Pas de site, pas de téléphone — à vérifier",a_verifier,,
8022,Nord Nord,"
80 Rue Riquet, 75018 Paris, France",Paris,,,+33142411295,,,,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8023,Cabinet Céline Zocchetto Avocat Paris,,Paris,avocat,,,,,avocat,web,2,,"Pas de site, pas de téléphone — à vérifier",a_verifier,,
8024,LG. PLOMBERIE Paris 13,"
38 Rue Dunois, 75013 Paris, France",Paris,plomberie_chauffage,,+33140307890,,,plomberie_chauffage,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8025,VASILE Plombier Paris 15,"
70 Rue Castagnary, 75015 Paris, France",Paris,plomberie_chauffage,,+33187588884,,,plomberie_chauffage,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8026,"Dr Maurice Dray, médecin esthétique, Clinique Dray","
3 Av. Montaigne, 75008 Paris, France",Paris,cliniques_esthetiques,,+33144178020,,0,cliniques_esthetiques,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8027,L'Agence Bac Saint Germain Immo Paris 7eme,"
7 Bd Raspail, 75007 Paris, France",Paris,Agence,,+33142223030,,0,Agence,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8028,Garage Republique,"
133 Rue Amelot, 75011 Paris, France",Paris,concessionnaires_auto,,+33984482716,,0,concessionnaires_auto,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8029,Garage Des Roses,"
23 Rue des Roses, 75018 Paris, France",Paris,concessionnaires_auto,,+33146071117,,0,concessionnaires_auto,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8030,Station Meca Voltaire,"
42 Bd Voltaire, 75011 Paris, France",Paris,concessionnaires_auto,,+33147006165,,0,concessionnaires_auto,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8031,Garage Paris Shweyangyan,"
85 Rue Hoche, 94200 Ivry-sur-Seine, France",Paris,concessionnaires_auto,,+33156200805,,0,concessionnaires_auto,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8032,[P] Parking Halles Garage - Parking - Station service,"
10 Rue Bailleul, 75001 Paris, France",Paris,concessionnaires_auto,,+33142603624,,0,concessionnaires_auto,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8033,YF Auto Paris,"
38 Rue Dunois, 75013 Paris, France",Paris,concessionnaires_auto,,+33751108093,,0,concessionnaires_auto,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8034,Garage Claude Porte Doree.,"
4 Rue de l'Essai, 75005 Paris, France",Paris,concessionnaires_auto,,+33780993294,,0,concessionnaires_auto,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8035,Garage Paris 12ème,"
159 Rue de Picpus, 75012 Paris, France",Paris,concessionnaires_auto,,+33143460544,,0,concessionnaires_auto,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8036,Crêperie Arty Caffé - Restaurant à Paris,"
176 Rue de Rivoli, 75001 Paris, France",Paris,,,+33982607733,,,,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8037,Centre Dentaire Paris 10 Gare du Nord : Dentiste et Cabinet d'orthodontie Paris - Dentego,,Paris,sante,,,,,sante,web,2,,"Pas de site, pas de téléphone — à vérifier",a_verifier,,
8038,Italien de Paris 24,"
Cotonou",Paris,,,96000207,,,,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8039,Dentimad - Centre dentaire Chatelet Rivoli Paris 1er,,Paris,sante,,,,,sante,web,2,,"Pas de site, pas de téléphone — à vérifier",a_verifier,,
8040,Dentimad centre dentaire Paris 8,,Paris,sante,,,,,sante,web,2,,"Pas de site, pas de téléphone — à vérifier",a_verifier,,
